Wavelength (micron),Avg Intensity (MJy/sr),Intensity Error
4.821956506903028,62.69762583132143,11.521261030704188
4.822743700812302,74.85770015952028,11.677996914508466
4.823530894721577,67.34185574378496,10.665703313964384
4.824318088630851,73.37024994838384,10.4011829459849
4.825105282540125,75.33816302264178,10.342929089256307
4.8258924764494,73.17817612636236,11.032014466482936
4.826679670358674,79.37527701295453,12.081472481909243
4.827466864267948,64.75043176721644,11.850623219610512
4.828254058177222,72.76152217535325,11.440464450758462
4.829041252086497,70.06101217387635,10.524702897004037
4.829828445995771,70.1868717994219,10.171848145394112
4.830615639905045,72.8611838258343,10.492007942476553
4.83140283381432,69.94435147885923,10.909915120541662
4.832190027723594,73.85393976282191,11.551120057279006
4.832977221632868,67.60267855797285,11.134838269669777
4.8337644155421415,71.42247673317239,10.815082654683124
4.834551609451416,71.4645632520134,10.843318906912877
4.83533880336069,63.64901841717002,11.12674330317988
4.836125997269964,67.94979100168487,11.404348113113457
4.836913191179239,59.750576396047336,10.876855009630406
4.837700385088513,67.430256596318,10.369240878095859
4.838487578997787,61.21684399357549,10.14725052212455
4.8392747729070615,62.38477975350839,10.642179111656212
4.840061966816336,67.16725648479697,11.168363005948706
4.84084916072561,69.06237458594052,11.218379409243724
4.841636354634884,69.51629469129774,11.363465720766053
4.842423548544159,60.981851836781445,10.74614348947834
4.843210742453433,64.40676712695463,10.48226008119513
4.843997936362707,67.1146161114728,10.50790411650367
4.8447851302719815,63.98240501497999,10.520686205839352
4.845572324181255,63.591407163643545,10.901361014682657
4.846359518090529,65.16397278397172,10.94365862896974
4.8471467119998035,72.32950507269965,11.307067405224464
4.847933905909078,69.55099732198833,11.108820483364841
4.848721099818352,65.19262874273606,11.242642765478115
4.849508293727626,72.11932340080355,11.3146351759796
4.850295487636901,63.48682481271249,10.789751480442714
4.851082681546175,68.55582795319734,10.987927290961226
4.851869875455449,72.50791102279851,10.66400826594358
4.8526570693647235,68.60234969339253,10.865588614968043
4.853444263273998,70.06066903950256,11.336598227414273
4.854231457183272,65.09621241063248,11.430900208489026
4.855018651092546,65.24379555973006,11.449073428669722
4.855805845001821,68.7653299967448,11.60391518778884
4.856593038911095,68.28448062472873,11.401143561155509
4.857380232820368,67.7444011075997,10.860562365225183
4.858167426729643,60.71462157920555,10.868538632310614
4.858954620638917,61.81983189523956,10.77883497389584
4.859741814548191,64.58567824187102,11.052930619495585
4.8605290084574655,62.83054288228353,11.2194975838354
4.86131620236674,71.59041920414677,11.652458208097528
4.862103396276014,65.80591870531623,11.667434618008755
4.862890590185288,66.82157737826124,11.512114903281088
4.863677784094563,68.76731104909638,11.1753672445145
4.864464978003837,67.02131417356891,10.902574179789266
4.865252171913111,66.16982111518766,10.690798610662394
4.8660393658223855,57.92919027069468,10.80595927966562
4.86682655973166,65.24520695062331,11.293372565603164
4.867613753640934,66.20735931396484,11.373868117814347
4.868400947550208,65.72699878833912,11.376730241927548
4.869188141459482,72.56749113106433,11.56438359684006
4.869975335368756,62.77963548825111,11.559410973064093
4.87076252927803,67.8796898641704,11.227244561884701
4.871549723187305,63.065814500973545,10.998933726891956
4.872336917096579,63.81021045166769,10.97072215405905
4.873124111005853,62.3659088699906,10.712531361466095
4.8739113049151275,53.977192631474246,10.630769997654504
4.874698498824402,66.8353544164587,11.233852429548689
4.875485692733676,56.62033457814911,11.596035881330693
4.87627288664295,66.65816615540304,11.707559949828632
4.877060080552225,57.86676757129622,11.501764641020015
4.877847274461499,58.51478524855626,10.798209190203456
4.878634468370773,67.86089183666088,10.466657922354006
4.8794216622800475,58.88877920456874,10.65311568542049
4.880208856189322,69.36328186223537,11.12683023976145
4.880996050098595,63.4359329600393,11.304287688555117
4.8817832440078694,67.17310413313501,11.433245207737409
4.882570437917144,71.86708389093846,11.342201590746654
4.883357631826418,68.92749395488221,11.139011374133714
4.884144825735692,73.43763365568938,11.202067783623036
4.884932019644967,61.41438185138467,11.464323314691182
4.885719213554241,66.74263565628617,11.37987980830283
4.886506407463515,67.1831617002134,10.820185766193713
4.8872936013727895,61.81079803278417,10.524024937224013
4.888080795282064,69.19490093655057,10.521805195640656
4.888867989191338,63.75900128446979,10.839667758408252
4.889655183100612,71.66752403165087,11.785126287750467
4.890442377009887,54.67393479523835,11.810300398895386
4.891229570919161,65.41539879787115,11.50377920701298
4.892016764828435,65.46458077136381,10.770333073891148
4.892803958737709,62.523451487223305,10.405723745482149
4.893591152646983,65.3306625272021,10.375780106112973
4.894378346556257,56.855175065405575,10.661723854101519
4.895165540465531,69.2362868697555,11.269790466455932
4.895952734374806,60.48948841330446,11.483051195698076
4.89673992828408,64.66477636643398,11.410153299051341
4.897527122193354,66.21239363116983,11.094479009858452
4.898314316102629,58.539837448685255,10.810301407339997
4.899101510011903,70.43616928288967,11.012747711732057
4.899888703921177,63.763740680835866,11.01990514678057
4.900675897830451,69.93116246918102,11.309006174482326
4.901463091739726,63.0771425506215,11.006718380647492
4.902250285649,67.58138298693999,10.560124611328114
4.903037479558274,63.358841554618174,10.694005785913891
4.903824673467549,58.77311268559209,11.11818310621473
4.904611867376822,75.65185212500302,11.764633098385701
4.905399061286096,62.59318622542016,11.858397731871422
4.9061862551953705,72.09586338938018,11.68647422665635
4.906973449104645,66.04998685106818,10.632933256889899
4.907760643013919,67.53339282377267,10.1108831184948
4.908547836923193,74.20074839650849,10.292665000788595
4.909335030832468,66.67912532665112,10.516856731420583
4.910122224741742,74.63390976705669,11.522068100106077
4.910909418651016,62.986719013732156,11.66502436656726
4.9116966125602906,70.66553991812246,11.516363729874334
4.912483806469565,69.57951934249313,10.883484238489272
4.913271000378839,66.35397159906081,10.666068710098825
4.914058194288113,65.44517940945096,10.699603251971359
4.914845388197388,55.67259367012683,10.668364166421524
4.915632582106662,66.01575017858434,10.970164739523156
4.916419776015935,60.34647195133162,10.941938467911646
4.91720696992521,66.47542105780707,10.713605070997593
4.917994163834484,65.63683149549696,10.58779599862617
4.918781357743758,59.26188367678795,10.855084939516633
4.9195685516530325,70.8319785506637,11.230239875735586
4.920355745562307,65.94379924256124,11.614140612488267
4.921142939471581,72.94267442491319,11.194229967959362
4.921930133380855,66.28737649799865,10.48106070761696
4.92271732729013,68.31219345846294,10.150120325986807
4.923504521199404,69.26005730805574,10.145196788907723
4.924291715108678,67.39196268717448,10.609702275757389
4.9250789090179525,76.74885992356289,11.672299944150733
4.925866102927227,66.5206719857675,11.866391376233683
4.926653296836501,69.57202398041149,11.621107450563285
4.927440490745775,67.8763708891692,10.7050399052182
4.928227684655049,61.19575392169717,10.195350266701812
4.929014878564323,61.95522958260995,10.092606242345168
4.929802072473597,59.107860612280575,10.354260721508806
4.930589266382872,63.28407824480975,10.937580443467168
4.931376460292146,67.37955875161254,11.14006606773549
4.93216365420142,71.72823361997251,11.41022746872004
4.9329508481106945,68.05594277087553,11.55470601343946
4.933738042019969,60.22326801441334,11.1321625321423
4.934525235929243,67.15362332190996,11.27920383976076
4.935312429838517,65.75103594933027,11.575719263893253
4.936099623747792,65.44078162864402,11.236351678482462
4.936886817657066,65.02624963831019,11.002742900638264
4.93767401156634,67.75936569402248,10.761239287634142
4.9384612054756145,73.94602372911241,10.385020177972404
4.939248399384889,70.24534418553482,10.46760881121765
4.940035593294162,65.42370577211733,10.93129712489901
4.9408227872034365,65.35905757951147,11.54704490172224
4.941609981112711,69.24522060818143,11.890909664035494
4.942397175021985,67.16141674842363,11.640762160992747
4.943184368931259,66.58391773553542,10.83249863294645
4.943971562840534,66.48360650333358,9.914104511865295
4.944758756749808,63.407324567253205,9.866481895364283
4.945545950659082,66.48518357453523,10.465797858950316
4.9463331445683565,64.77134459695698,11.107822802357695
4.947120338477631,62.400100660912784,12.105456582269426
4.947907532386905,67.40822832083997,11.978853528956478
4.948694726296179,64.00788813461492,11.15759055026737
4.949481920205454,66.611124391909,10.318184283224483
4.950269114114728,66.1657527876489,10.078932753952888
4.951056308024002,65.08786123770254,10.460868464837091
4.951843501933276,69.42884869045682,10.91491212179123
4.95263069584255,69.11114770394785,11.360084306505588
4.953417889751824,73.53021226105867,11.52291575253734
4.9542050836610985,71.32392482993043,11.168790022347736
4.954992277570373,72.34866780410579,10.990193665231812
4.955779471479647,71.06796259938935,10.949837652193112
4.956566665388921,66.18222064736449,11.138199752512413
4.957353859298196,71.72380386164158,11.37056030495665
4.95814105320747,69.7544246720679,11.167895424606321
4.958928247116744,77.86411393718954,10.993933719703847
4.9597154410260185,70.64207378434546,10.623058157782257
4.960502634935293,69.21340867030767,10.574945290253181
4.961289828844567,70.74045058827342,10.982061407765656
